Method,ICCoh,CBDir,Inter_distance,Intra_distance,Inter_vs_Intra,Angle_velocity,Consistency_score,Groundtruth correlation,AVG
cell2fate,6,13,16,11,10,13,4,7,10
cellDancer,1,6,1,15,1,19,18,15,9.5
DeepVelo,14,14,8,5,7,16,9,12,10.625
k-velo,2,11,2,2,3,14,14,16,8
LatentVelo,19,3,4,1,2,7,3,8,5.875
NeuroVelo,9,17,9,8,9,3,2,4,7.625
PhyloVelo,7,5,7,4,6,2,0,3,4.25
PyroVelocity,16,8,15,18,19,8,17,9,13.75
scRNAkinetics,11,12,18,16,15,1,19,1,11.625
scVelo-dynamical,17,10,14,14,14,9,5,14,12.125
scVelo-stochastic,8,4,13,10,12,11,13,17,11
SDEvelo,10,9,12,9,8,6,8,11,9.125
STT,12,19,10,20,17,15,12,13,14.75
TFvelo,18,1,19,13,16,4,7,5,10.375
TopicVelo,13,20,6,7,11,12,11,6,10.75
UniTVelo,4,15,11,12,13,17,15,18,13.125
VeloAE,20,2,20,19,20,5,1,2,11.125
velocyto,3,16,3,6,5,18,16,19,10.75
VeloVAE,5,7,5,3,4,10,6,10,6.25
veloVI,15,18,17,17,18,20,10,20,16.875
